"","url","observation","date","id_code","count","max_at_once","notes"
"2363","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","981 kelp gull larus dominicanus 13 (11)","23rd-july-2005","981","13","11",NA
"2364","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","125 silver gull l. novaehollandiae 520+ (350+)","23rd-july-2005","125","520+","350",NA
"2365","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","114 white-fronted tern sterna striata 1","23rd-july-2005","114","1",NA,"1"
"2366","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","115 crested tern s. bergii 55 (29)in the harbour:","23rd-july-2005","115","55","29",":"
"2367","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","193 striated heron ardeola striatus macrorhynchus 1","23rd-july-2005","193","1",NA,"1"
"2368","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","100 little pied cormorant phalacrocorax melanoleucos 2 (20)","23rd-july-2005","100","2","20",NA
"2369","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","097 little black cormorant p. sulcirostris 3 (2)","23rd-july-2005","097","3","2",NA
"2370","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","106 australian pelican pelicanus conspicillatus 8 (5)","23rd-july-2005","106","8","5",NA
"2371","http://www.sossa-international.org/forum/content.php?254-23rd-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","226 white-bellied sea-eagle haliaeetus leucocaster 1 adultmammals:","23rd-july-2005","226","1",NA,":"
"2372","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","005 little penguin eudyptula minor 3 (3)","26th-june-2005","005","3","3",NA
"2373","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","929southern giant-petrel macronectes giganteus 1","26th-june-2005","929","1",NA,"1"
"2374","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","937northern giant-petrel m. halli 3 (3)","26th-june-2005","937","3","3",NA
"2375","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","080 cape petrel daption capense australe 27 (25)","26th-june-2005","080","27","25",NA
"2376","http://www.sossa-international.org/forum/content.php?253-26th-june-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","075 great-winged petrel pterodroma m. macroptera 2 (2)","26th-june-2005","075","2","2",NA
